0,Odell Beckham Jr.,WR
1,Doug Martin,RB
2,C.J. Anderson,RB
3,Jordan Reed,TE
4,Golden Tate,WR
5,John Brown,WR
6,Blake Bortles,QB
7,New England Patriots,DST
8,Stephen Gostkowski,K
9,Dontari Poe,IDP
10,Ameer Abdullah,RB
11,Marcus Mariota,QB
12,Ladarius Green,TE
13,Dorial Green-Beckham,WR
14,Oakland Raiders,DST
15,Nick Folk,K
