Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
131,"Hitchens, Anthony",DAL,LB,51.5,42.6,1.1,1.4,0,0.6,0,0,75.9
132,"Chung, Patrick",NEP,DB,48.2,38.8,0.6,5.9,0.5,0.7,0,0,75.8
133,"Barr, Anthony",MIN,LB,50,35.4,2.3,3.5,0,1.2,0.7,0,75.3
134,"Anthony, Stephone",NOR,LB,54.4,27.3,1.5,2.9,0.4,1.6,0.2,0.2,75
135,"Apple, Eli",NYG,DB,53.4,9.3,0.3,10.8,1.9,1.4,0.6,0,74.8
136,"Boston, Tre",LAC,DB,50,16,1.6,10.7,2.2,0,0,0,74.8
137,"Dupree, Alvin",PIT,LB,52.3,19.4,7.2,3.6,0.3,1.3,0,0,74.5
138,"Iloka, George",CIN,DB,49.7,22.7,0.2,7.5,2.6,0.2,0,0,74.1
139,"Thompson, Shaq",CAR,LB,53,25.4,0,5.9,1.1,0,0,0.2,73.8
140,"Cockrell, Ross",PIT,DB,50.8,17.9,0,12.5,0.7,0,0,0,73.7
141,"Hal, Dre",HOU,DB,42.7,23.1,0.7,9.7,4.5,0,0,0,73.7
142,"Robinson, Rashard",SFO,DB,54,7,0.1,12.1,1.8,0.3,0.1,0,73.7
143,"Amerson, David",OAK,DB,51.3,5.9,0,14.7,2.2,0,0,0.2,73.5
144,"Berry, Eric",KCC,DB,50,11.5,0.3,8.1,4.2,0.7,0,0.3,73.3
145,"Jenkins, Janoris",NYG,DB,45.2,6.6,1.1,16.2,3.2,1,0,0,73.1
146,"Bosa, Joey",LAC,DL,50,14.8,12.8,2.3,0.3,0,0,0,73.1
147,"Quin, Glover",DET,DB,55.4,15.2,0.2,6.4,1.1,1.1,0,0,73
148,"Hunter, Danielle",MIN,DL,43,23.8,15.3,0.7,0,0.9,0.9,0.2,72.7
149,"Foster, Reuben",SFO,LB,55.8,18.5,2.6,2.9,0.3,1.4,0,0,72.6
150,"Thomas, J.T.",NYG,LB,52.3,25.5,0.4,5.3,0,1.2,0.6,0,72.5
151,"Williams, Brandon",ARZ,DB,56.8,7.2,0,10.5,0.4,0.4,0.4,0.2,72.5
152,"Slay, Darius",DET,DB,54.2,5.1,0.6,12,1.2,0.6,0,0,72.2
153,"Verrett, Jason",LAC,DB,51.8,7.3,0,9.6,3.5,0,0,0.2,72.2
154,"Rey, Vincent",CIN,LB,47.5,29.3,0.7,7.5,0.9,0,0,0,72.2
155,"Harris, Chris",DEN,DB,53.9,8.2,0.4,9.1,1.6,1.1,0.3,0.2,72.1
156,"Lowery, Dwight",LAC,DB,52.3,11.4,0,8.3,1.9,0.9,0.8,0.2,72
157,"Allen, Ricardo",ATL,DB,48,23.7,0,4.7,3.4,0.2,0.2,0,71.7
158,"Dunlap, Carlos",CIN,DL,36,22.2,11,10.5,0,2.6,0.5,0,71.7
159,"Hodges, Gerald",BUF,LB,48.9,24.4,3.9,2.8,1.2,1,0.6,0,71.7
160,"Vernon, Olivier",NYG,DL,49,19.6,10.4,0.8,0,0.7,0.7,0,71.5
161,"Branch, Tyvon",ARZ,DB,53.9,7.8,1,8.5,2.1,0,0,0.1,71.4
162,"Jackson, Kareem",HOU,DB,51.4,15,0,7.8,2.2,0,0,0.2,71.1
163,"Reynolds, Ed",CLE,DB,51.3,23.5,1.6,4.8,0.8,0,0,0,71
164,"McDougald, Bradley",SEA,DB,55.9,17,0,5.4,0.6,0,0,0,70.9
165,"Bell, Vonn",NOR,DB,49.6,24,1.1,5.2,0.3,1.1,0.8,0,70.5
166,"Scandrick, Orlando",DAL,DB,48.6,10.5,3.6,9.4,1,1.5,0,0,70.3
167,"Jones-Quartey, Harold",CHI,DB,58.4,9.1,0,3.4,1.5,0.8,0,0,70.1
168,"Heath, Jeff",DAL,DB,53,14.6,0.3,5.6,1.7,0.5,0,0,70.1
169,"Melifonwu, Obi",OAK,DB,49.7,10.7,0,11.1,1.5,0.3,0.3,0,69.7
170,"Poyer, Jordan",BUF,DB,51.1,16.2,0,7.7,0.8,0,0,0.2,68.5
171,"Donald, Aaron",LAR,DL,41.7,19.2,10.3,4.2,0,1.5,0.6,0,68
172,"Randall, Damarious",GBP,DB,46.1,8.8,0.4,9.8,3.2,0,0,0.2,67.1
173,"Matthews, Clay",GBP,LB,44.1,15,6.4,4.3,0,3.1,1.6,0,67
174,"Pierre-Paul, Jason",NYG,DL,39.6,19,5.6,8,0,2,2,0.2,66.8
175,"Davis, Vontae",IND,DB,44.6,8.3,0,13.1,2.2,0.3,0.1,0,66.6
176,"Haden, Joe",CLE,DB,47.6,14.4,0.2,8.9,1.3,0,0,0,66.5
177,"Wilkerson, Muhammad",NYJ,DL,37,31.2,8,4.4,0,1.5,0,0,66.5
178,"Flowers, Trey",NEP,DL,35.4,34,9.2,3.2,0,0.6,0.6,0,65.9
179,"Harrison, James",PIT,LB,48.3,13,6,1.8,1,0.8,0,0,65.3
180,"Emanuel, Kyle",LAC,LB,48.5,23.2,1.4,1.6,0,0.9,0.9,0,64.9
181,"Griffen, Everson",MIN,DL,40,14.1,10.6,2.9,0,1.7,1.7,0.2,63.9
182,"Cushing, Brian",HOU,LB,44,28.9,4.1,0.9,0.1,0,0,0,63.7
183,"Ryan, Jake",GBP,LB,48.4,20,1.9,2.7,0.2,0,0,0,63.4
184,"Alexander, Maurice",LAR,DB,48.5,11.8,0.4,4.8,1.6,0.4,0,0,63.2
185,"Gay, William",PIT,DB,44.8,15,1.3,7,0.9,0.6,0,0,63.1
186,"Floyd, Leonard",CHI,LB,42.1,19.7,6,3.5,0,0.7,0.7,0,62.8
187,"Hayward, Casey",LAC,DB,38,5.6,0,12.1,4.9,0,0,0.2,62.6
188,"Breaux, Delvin",NOR,DB,48.1,11.8,0,6.2,1,0.2,0,0,62.5
189,"Peterson, Patrick",ARZ,DB,46.7,6.4,0.3,6.5,2.7,0,0,0,62.1
190,"Williams, Leonard",NYJ,DL,38,37.2,3.9,0.5,0,1.1,0,0,62.1
191,"Carroll, Nolan",DAL,DB,44.7,12.2,0,7.2,1.2,1.6,0,0,62
192,"Orakpo, Brian",TEN,LB,41.5,8.9,8.6,6.1,0,1.3,0,0,62
193,"Joseph, Johnathan",HOU,DB,47.1,8.4,0,8.8,0.8,0,0,0.2,61.8
194,"Bouye, A.J.",JAC,DB,44.2,11.4,0.5,10.2,0.5,0,0,0,61.6
