Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
332,"Searcy, Da'Norris",TEN,DB,31.9,7.3,0,4.6,1.5,0,0,0,43.1
333,"Ayers, Robert",TBB,DL,26,11.5,8.2,1.7,0,1.1,0.2,0,43.1
334,"Spence, Sean",IND,LB,30.7,12.2,2.7,3.2,0,0.4,0,0,43
335,"Ford, Dee",KCC,LB,26.9,13.1,6.3,2.5,0,0.8,0,0,43
336,"Thomas, Michael",MIA,DB,29.5,14.6,0.9,2.5,0.9,1.1,0,0,43
337,"Gaines, Phillip",KCC,DB,33,2.7,0,6,0.6,0.8,0.5,0,42.9
338,"Callahan, Bryce",CHI,DB,35.2,2.1,0.8,5.8,0,0,0,0,42.8
339,"Kerrigan, Ryan",WAS,LB,24.2,15.4,7.9,1.8,0,1.2,0,0,42.8
340,"Williams, Marcus",NOR,DB,32,10.4,0,5.4,0,0,0,0,42.6
341,"Kindred, Derrick",CLE,DB,30.2,14.8,0.2,4.2,0.2,0,0,0,42.5
342,"Nkemdiche, Robert",ARZ,DL,27,9.9,5.6,2.5,0.4,0.8,0.8,0.1,42.4
343,"Robey, Nickell",LAR,DB,31.4,8.1,0.1,4.4,0.5,0.5,0.5,0.1,42.1
344,"Kwiatkoski, Nick",CHI,LB,30.2,10.8,3.5,1.2,0,1.3,0.3,0,42
345,"Crawley, Ken",NOR,DB,33,3.8,0,5.5,0,0.6,0.6,0,41.6
346,"Parry, David",IND,DL,31.9,14.5,2.4,0,0,0,0,0,41.6
347,"Urban, Brent",BAL,DL,27,16.9,3.3,1.8,0.5,0.2,0,0,41.6
348,"Rubin, Ahtyba",SEA,DL,25.2,19.2,3.8,1.7,0,1,0.3,0,41.6
349,"Munnerlyn, Captain",CAR,DB,32.1,11.5,0,3.1,0,0.4,0,0,41.4
350,"Armstrong, Ray-Ray",SFO,LB,28.4,11,3,1.6,0.8,0.6,0.6,0,41.3
351,"Bellore, Nick",DET,LB,30.4,10.9,1,2.2,0.5,0.6,0,0,40.6
352,"Williams, Brandon",BAL,DL,30,15.1,0.7,1.4,0,0.5,0.3,0,40.5
353,"Roberts, Elandon",NEP,LB,30.1,18.1,0.3,0,0,0.8,0,0,40.2
354,"Smith, Jacquies",TBB,DL,26.7,9.9,4.2,0.9,0,1.7,1.7,0,40.1
355,"Perry, Joshua",LAC,LB,27.6,16.4,1.8,1.3,0,1,0,0,39.9
356,"Simon, John",IND,LB,22.9,16.8,3.6,1.6,0.7,2,0,0,39.9
357,"McLellan, Albert",BAL,LB,25.6,22,2.1,0,0,0.6,0.3,0,39.5
358,"Morrison, Antonio",IND,LB,28.6,18,1.2,0.4,0,0,0,0,39.2
359,"Witherspoon, Ahkello",SFO,DB,31.2,3.6,0,4.3,0.4,1,0,0,39.2
360,"Westbrooks, Ethan",LAR,DL,30.8,8,3.5,0.7,0,0,0,0.2,39
361,"Ngakoue, Yannick",JAC,DL,22.3,5.4,7.5,2.1,0.2,3.9,0,0,38.9
362,"Mager, Craig",LAC,DB,25.4,9,0,5.8,1.5,0,0,0,38.6
363,"Alexander, Dominique",CLE,LB,23.4,17.5,3,2.1,0,0.9,0.4,0,38.6
364,"Brown, Malcolm",NEP,DL,22.7,23.3,2.7,0.6,0,0.9,0,0,38.5
365,"Conte, Chris",TBB,DB,31,6.2,0,2.8,0.7,0,0,0.1,38.3
366,"Okwara, Romeo",NYG,DL,22.9,18.3,4.1,1.5,0,0.3,0.3,0,38.3
367,"Moore, Sio",HOU,LB,29,14.1,0,0.1,0,1.7,0.3,0,38.1
368,"Langford, Kendall",IND,DL,26.3,11.7,3.6,2.3,0,0,0,0,38.1
369,"Humphrey, Marlon",BAL,DB,27.3,7.6,0.5,4.7,0.8,0,0,0,37.9
370,"Bryant, Armonty",DET,DL,25,7.6,6.1,1,0,0.7,0.5,0,37.2
371,"Houston, Lamarr",CHI,LB,26.5,9.8,5.5,0.3,0,0,0,0,37.2
372,"Robison, Brian",MIN,DL,20.3,10.2,7.6,1.2,0,2.5,0.5,0,37.1
373,"Hayes, William",MIA,DL,25.5,14.4,4.2,0,0,0,0,0,36.9
374,"Williams, Tramon",ARZ,DB,26.9,6.2,0.4,4.9,0.7,0,0,0,36.8
375,"Crick, Jared",DEN,DL,23,15,1,4.7,0,0.6,0,0,36.8
376,"Jarrett, Grady",ATL,DL,18.3,26.8,4.8,0,0,0,0,0,36.6
377,"Hewitt, Neville",MIA,LB,27.1,17.2,0.9,0,0,0,0,0,36.5
378,"Young, Willie",CHI,LB,21.9,12.5,5.8,1.4,0,0.8,0.2,0,36.4
379,"Jones, Colin",CAR,DB,25.3,16,0.4,2.1,0,0.4,0,0,36.3
380,"Meder, Jamie",CLE,DL,24.9,19.9,1,0.2,0,0,0,0,36.1
381,"Blanton, Robert",DAL,DB,30,10,0,1.1,0,0,0,0,36.1
382,"Goldman, Eddie",CHI,DL,24.7,12.5,5.1,0,0,0,0,0,36
383,"Bostic, Jon",IND,LB,24.5,12,4.2,0,0,1.1,0.1,0.2,36
384,"Irving, David",DAL,DL,19.2,13.9,3.8,3.4,0,2.3,0.2,0,35.9
385,"Wilhoite, Michael",SEA,LB,27.5,8.5,0.7,1.1,0,1.4,0.8,0,35.8
386,"Shelton, Danny",CLE,DL,24.2,20.4,1.2,0,0,0,0,0,35.7
387,"Harris, Charles",MIA,DL,29.1,7.9,1.9,0.4,0,0,0,0,35.3
388,"Zettel, Anthony",DET,DL,24.3,12.4,4.2,0.3,0,0,0,0,35
389,"Dareus, Marcell",BUF,DL,25.3,13.7,2.1,0.7,0,0,0,0,34.9
390,"Poe, Dontari",ATL,DL,22.4,10.7,3.4,2.1,0,1.2,0,0,34.4
391,"Wilson, Damien",DAL,LB,25.3,10.2,0.5,2.8,0,0,0,0,33.7
392,"Hayden, D.J.",DET,DB,27.5,5.1,0,3.2,0,0.4,0,0,33.6
393,"Gunter, Rodney",ARZ,DL,25.7,9.6,1.3,0.3,0,1.5,0,0,33.6
394,"Moreau, Fabian",WAS,DB,24.7,8.7,0,1.7,1.4,0,0,0,33.4
395,"Worrilow, Paul",DET,LB,24,13.3,0.8,1.7,0,0,0,0,33.1
396,"Hali, Tamba",KCC,LB,23.6,12,2.3,1.1,0,0,0,0,33.1
397,"McDonald, Clinton",TBB,DL,23,11.8,3.6,0,0,0.6,0,0,33.1
398,"Longacre, Matt",LAR,DL,25.7,10.3,1.3,0.4,0,0.4,0,0,33
399,"Robinson, A'Shawn",DET,DL,21.6,10,1.4,4.5,0,0,0,0,32.6
400,"Robinson, Patrick",PHI,DB,18.9,11.8,0,3.7,0.9,1.3,0,0,31.6
401,"Durant, Justin",DAL,LB,21,14.1,0.9,2.5,0,0,0,0,31.5
402,"Seymour, Kevon",BUF,DB,22.7,7.5,0,4.8,0,0,0,0,31.2
403,"McClellin, Shea",NEP,LB,17.4,22.1,1.3,0.7,0,0.3,0.3,0,31
404,"Nassib, Carl",CLE,DL,19,12.3,2.4,3.5,0,0,0,0,31
405,"Bynes, Josh",ARZ,LB,21.7,11.1,0.5,2.6,0,0.4,0,0,30.8
406,"Jones, Christian",CHI,LB,23.3,7.3,0.7,2.6,0,0.6,0,0,30.8
407,"Clark, Kenny",GBP,DL,20.9,11.7,0.7,3.3,0,0,0,0,30.7
408,"Attaochu, Jeremiah",LAC,DL,23.3,4,4,0.6,0,0.6,0,0,30.5
409,"Nunez-Roches, Rakeem",KCC,DL,17.7,17.9,1.1,2,0,0.3,0.3,0,30.5
410,"House, Davon",GBP,DB,22.8,3.8,0,5.6,0,0,0,0,30.4
411,"Ngata, Haloti",DET,DL,17.3,14.7,1.8,3.4,0,0,0,0,29.9
412,"Baker, Chris",TBB,DL,20.2,10.9,2.6,1.1,0,0.4,0,0,29.7
413,"Long, Chris",PHI,DL,17.8,11.5,2.8,1.9,0,0.9,0.4,0,29.6
414,"Jackson, William",CIN,DB,17,8.1,0,5.7,1.5,0,0,0,29.6
415,"Mebane, Brandon",LAC,DL,22,8.2,1.1,0.8,0.8,0,0,0,29.5
416,"Autry, Denico",OAK,DL,21.3,6.4,2.7,2,0,0,0,0,29.3
417,"Dial, Quinton",SFO,DL,21,12.6,0,1.9,0,0,0,0,29.2
418,"Allen, Beau",PHI,DL,21.3,9.8,1.6,0,0,0.5,0.5,0,28.8
419,"Hageman, Ra'Shede",ATL,DL,17.9,13.1,3.5,0.7,0,0,0,0,28.6
420,"Beckwith, Kendell",TBB,LB,21.4,9.5,1.1,0.7,0,0.4,0.3,0.2,28.6
421,"Unrein, Mitch",CHI,DL,20.3,14.2,1.2,0,0,0,0,0,28.6
422,"McDaniel, Tony",NOR,DL,19.8,14.8,0.1,1.2,0,0,0,0,28.5
423,"Hunt, Margus",IND,DL,16.4,16.4,2.1,1.6,0,0,0,0,28.3
424,"Lotulelei, Star",CAR,DL,16.6,15.9,1.6,1.6,0,0.2,0,0,28
425,"Peko, Domata",DEN,DL,16.2,16.1,0,3.6,0,0,0,0,27.8
426,"Weatherspoon, Sean",FA,LB,24.1,7.1,0,0.1,0,0,0,0,27.7
427,"Mauga, Josh",KCC,LB,18.8,6.2,1.1,2,1.4,0,0,0,27.7
428,"Willis, Jordan",CIN,DL,15.7,15.6,2.3,1.9,0,0,0,0,27.7
429,"Peters, Corey",ARZ,DL,18,16.8,0.8,0.4,0,0,0,0,27.6
430,"Crawford, Tyrone",DAL,DL,17.5,10.8,3.2,0,0,0.7,0.7,0,27.5
431,"Brown, Jayon",TEN,LB,16.6,8.3,1.9,3,0.4,0.4,0.4,0,27.3
432,"Ellis, Justin",OAK,DL,21.3,9.3,0,1.3,0,0,0,0,27.2
433,"Sims, Pat",CIN,DL,14,20.3,1.4,1,0,0,0,0,26.6
434,"Curry, Vinny",PHI,DL,18.8,8.3,2.9,0,0,0.5,0,0,26.3
435,"Lamur, Emmanuel",MIN,LB,18.5,11.8,0.3,1.1,0,0.4,0,0,26.3
436,"Matakevich, Tyler",PIT,LB,14.7,11.1,1.3,3,0,0.9,0.8,0,26.3
437,"Webster, Kayvon",LAR,DB,18.3,6.8,0.4,3,0.4,0.4,0,0,26.2
438,"Canady, Maurice",BAL,DB,17.5,8.8,0.5,3.4,0,0.4,0,0,26.2
439,"Bowser, Tyus",BAL,LB,15.3,14.8,0,3.1,0.1,0,0,0,26
440,"Palmer, Nate",TEN,LB,18.7,6.1,1.7,2.5,0,0,0,0,26
441,"Washington, Cornelius",DET,DL,18.5,8.6,1.6,0.9,0,0.6,0,0,25.9
442,"Armstead, Arik",SFO,DL,18.6,8.9,2.3,0,0,0.3,0,0,25.6
443,"Johnson, Leonard",BUF,DB,20.5,6.5,0,1.8,0,0,0,0.2,25.6
444,"Rivers, Derek",NEP,DL,14.4,18.4,1.2,0.7,0,0,0,0,25.5
445,"McKinley, Takkarist",ATL,DL,17.9,11.5,1.5,0.2,0,0,0,0,25.3
446,"Allen, Antonio",FA,DB,18.9,5.2,0,3.8,0,0,0,0,25.3
447,"Klug, Karl",TEN,DL,15.2,13.2,2.3,0.8,0,0,0,0,24.8
448,"Brooks, Ron",PHI,DB,15.1,7.4,0,3.4,0.6,0.6,0.4,0.2,24.5
449,"Jordan, Dion",SEA,DL,15.4,8.5,3.1,0.6,0,1.1,0,0,24.5
450,"Stuckey, Darrell",FA,DB,16.2,5.2,1.1,3.4,0.5,0,0,0,24.3
451,"Jones, DaQuan",TEN,DL,17.3,12.1,0.9,0,0,0,0,0,24.2
452,"Jones, Jarvis",ARZ,LB,16,7.2,1,1.7,0.4,0.8,0.3,0,24.2
453,"Logan, Bennie",KCC,DL,16.1,7.2,1.5,1.9,0,0.9,0,0,24.1
454,"Hood, Evander",WAS,DL,13.1,12.4,1,2.8,0,0.8,0,0,23.9
455,"McLendon, Steve",NYJ,DL,14.8,12.4,1.7,0.3,0,0.7,0,0,23.8
456,"Bryant, Desmond",CLE,DL,15.6,9.2,2.1,1.2,0,0.1,0,0,23.7
457,"Watt, T.J.",PIT,LB,13.9,8.6,1.3,2,0,1,0.9,0,23.4
458,"Hargrave, Javon",PIT,DL,16,10.9,1.7,0.3,0,0,0,0,23.4
459,"Collins, Maliek",DAL,DL,14.1,6.3,3.4,0.7,0,0.7,0.7,0,22.9
460,"Jernigan, Timmy",PHI,DL,12.3,10.2,2.2,1.5,0.5,0.3,0.3,0,22.8
461,"Riley, Duke",ATL,LB,15.7,8.1,1.2,1.6,0,0,0,0,22.6
462,"Thornton, Cedric",DAL,DL,11.6,12.6,1.9,0.9,0,0.9,0.9,0,22.6
463,"Covington, Christian",HOU,DL,16.3,11.3,0.2,0.4,0,0,0,0,22.5
464,"Tomlinson, Dalvin",NYG,DL,15.9,10.6,0.8,0.5,0,0,0,0,22.5
465,"Dodd, Kevin",TEN,LB,15.3,5.3,1.5,2.5,0.3,0,0,0,22.4
466,"Spence, Noah",TBB,DL,12.7,6,3.1,1,0,1.8,0.5,0,22.2
467,"Walker, Anthony",IND,LB,14.7,9.1,2,0.9,0,0,0,0,22.1
468,"Johnson, Tom",MIN,DL,14.6,6.3,2,0.8,0.8,0,0,0,22.1
469,"Walker, Tyrunn",LAR,DL,15.7,9.8,0.1,1.3,0,0,0,0,22
470,"Mauldin, Lorenzo",NYJ,LB,11.3,9.3,3,1.4,0.5,0.3,0.3,0,21.9
471,"Robinson, Josh",TBB,DB,16.6,2.2,0,3.4,0,0.5,0.4,0,21.9
472,"Anderson, Ryan",WAS,LB,13.4,11.4,2.3,0.2,0,0,0,0,21.6
473,"Galette, Junior",WAS,LB,13.8,10.4,2.3,0.2,0,0,0,0,21.4
474,"Floyd, Sharrif",MIN,DL,13.5,9.9,2,0.6,0,0.1,0.1,0.1,21.2
475,"Tapp, Darryl",NOR,DL,15.7,6.6,0.9,0.3,0,0.4,0.4,0,20.9
476,"McFadden, Leon",DAL,DB,14.6,7.2,0.7,1.6,0,0.3,0,0,20.7
477,"Kikaha,  Hau'oli",NOR,DL,12.3,10.8,1,2.1,0,0,0,0,20.7
478,"Peters, Brian",HOU,LB,13.2,9.3,0.4,0,0,1,1,0,20.3
479,"Square, Damion",LAC,DL,14.7,6.3,2.3,0,0,0,0,0.2,20.1
480,"Sutton, Will",MIN,DL,10.8,14.6,1.7,0,0,0,0,0,19.8
481,"Henry, Willie",BAL,DL,11.9,10.5,1.2,1.3,0,0,0,0,19.7
482,"Rucker, Frostee",ARZ,DL,9.5,14.7,1.3,0,0,0.7,0.7,0,19.6
483,"Dzubnar, Nick",LAC,LB,14.3,7.3,0.8,0.4,0,0.4,0,0,19.5
484,"Reader, D.J.",HOU,DL,10.4,12.1,1.7,1.1,0,0,0,0,19.3
485,"Clayborn, Adrian",ATL,DL,14,4.4,2.7,0.3,0,0,0,0.2,19.2
486,"Okafor, Alex",NOR,LB,11.2,6.7,2.4,1.3,0,0.5,0.4,0,19.2
487,"Williams, Sylvester",TEN,DL,13.6,7.3,0.6,0.5,0,0,0,0,18.4
488,"Mayowa, Benson",DAL,DL,10.9,8.5,2.9,0,0,0.1,0.1,0,18.3
489,"Lawson, Carl",CIN,LB,9.8,13.3,1.2,0.4,0,0,0,0,18.1
490,"Maggitt, Curt",FA,LB,11.4,8.4,1.5,0.7,0,0,0,0,17.7
491,"Reynolds, LaRoy",ATL,LB,12.8,9.3,0,0.1,0,0,0,0,17.6
492,"Bennett, Michael",JAC,DL,11.3,4.9,2.5,0.8,0,0,0,0,17.1
493,"Taylor, Devin",NYG,DL,11.5,5.6,1.5,0.8,0,0.4,0,0,17
494,"Mitchell, Earl",SFO,DL,10.7,10,1.1,0,0,0,0,0,16.8
495,"Johnson, George",TBB,DL,11.3,6.9,1.1,0.4,0,0.2,0,0,16.4
496,"Shelby, Derrick",ATL,DL,9.4,7.7,0.8,1.7,0,0,0,0,15.7
497,"Anderson, Henry",IND,DL,9.3,9.2,0.3,1.6,0,0,0,0,15.7
498,"Davison, Tyeler",NOR,DL,8.4,11.3,0.1,1.5,0,0,0,0,15.7
499,"Gilberry, Wallace",CIN,DL,10.5,7.3,1.5,0,0,0,0,0,15.6
500,"Jean-Francois, Ricky",GBP,DL,9.4,8.2,0.8,0.6,0,0.6,0,0,15.6
501,"Ringo, Christian",GBP,DL,10.6,6.2,0,0.4,0,1.5,0,0,15.5
502,"McGill, Keith",OAK,DB,11.3,4.9,0.2,1.4,0,0,0,0,15.4
503,"Jenkins, Jarvis",KCC,DL,11.3,6.2,0.6,0.3,0,0,0,0,15.3
504,"Powell, Tyvis",IND,DB,12.8,2.2,0.3,0.3,0,0,0,0,14.6
505,"Cooper, Xavier",CLE,DL,9.1,10.9,0,0,0,0,0,0,14.6
506,"Watson, Dekoda",SFO,LB,10.2,5.8,0.7,0,0,0.3,0.3,0,14.4
507,"McGee, Stacy",WAS,DL,10.6,3.5,1.4,0.3,0,0,0,0,14.2
508,"Gwacham, Obum",NOR,DL,8.2,7.8,2,0,0,0,0,0,14.1
509,"Stinson, Ed",ARZ,DL,11.1,1.9,1.5,0.4,0,0,0,0,13.9
510,"Ridgeway, Hassan",IND,DL,7.5,8.9,0.7,1,0,0,0,0,13.7
511,"Crawford, Jack",ATL,DL,7.7,9.3,1,0.3,0,0,0,0,13.7
512,"Walton, Leterrius",PIT,DL,9,6,0,1.6,0,0,0,0,13.6
513,"Skov, Shayne",FA,LB,10,6,0,0,0,0,0,0,13
514,"Johnson, Steven",PIT,LB,6.9,6.5,0.2,1.3,0,1.3,0,0,12.9
515,"Reddick, Haason",ARZ,LB,9.3,6.1,0.5,0,0,0,0,0,12.8
516,"Walker, DeMarcus",DEN,DL,6.2,9.9,1,0.8,0,0,0,0,12.8
517,"Jenkins, Jelani",OAK,LB,9.4,6.5,0,0,0,0,0,0,12.7
518,"Wormley, Chris",BAL,DL,7.4,7.9,0,1.3,0,0,0,0,12.7
519,"Walker, Joe",PHI,LB,9.2,4.8,0.6,0.4,0,0,0,0,12.5
520,"Klein, A.J.",NOR,LB,8,6.1,0.6,0,0,0.6,0,0,12.4
521,"Philon, Darius",LAC,DL,8.2,2.9,1.8,0.8,0,0,0,0,12.3
522,"Lattimore, Jamari",BUF,LB,7,7.4,0.2,0,0,1.4,0,0,12.3
523,"Ragland, Reggie",BUF,LB,6.3,8.1,0.2,0,0,1.5,0,0,12.1
524,"Bailey, Allen",KCC,DL,9,4,0.3,0,0,0.3,0,0,11.7
525,"Smith, Jaylon",DAL,LB,9.6,2.6,0.2,0,0,0,0,0,11.1
526,"Anzalone, Alex",NOR,LB,6.3,5.4,0.4,0.4,0,0.8,0.4,0,11
527,"Washington, Adolphus",BUF,DL,7.1,5,1.2,0.1,0,0,0,0,11
528,"Howard, Jaye",CHI,DL,9.1,2.4,0,0,0,0.6,0,0,10.9
529,"Coyle, Brock",SFO,LB,7.6,4.9,0.3,0,0,0,0,0,10.3
530,"Pierre-Louis, Kevin",KCC,LB,6.3,3.8,1,0.8,0,0,0,0,10.1
531,"McCullers, Daniel",PIT,DL,5.8,5.4,0.2,1,0,0,0,0,9.8
532,"Thomas, Shamarko",NYJ,DB,6.5,2.2,0,1.8,0,0,0,0,9.4
533,"Lewis-Moore, Kapron",CHI,DL,6.3,5.1,0.4,0,0,0,0,0,9.2
534,"Kerr, Zach",DEN,DL,3.6,8.7,1.1,0,0,0,0,0,9
535,"Johnson, Austin",TEN,DL,4.4,7.5,0.5,0,0,0,0,0,8.7
536,"Thomas, Robert",NYG,DL,5.4,4.3,0.7,0,0,0,0,0,8.3
537,"Catapano, Mike",FA,DL,5.7,3.1,0.6,0,0,0,0,0,7.9
538,"Jacobs, Ben",CAR,LB,5,4.9,0,0,0,0,0,0,7.6
539,"Hull, Mike",MIA,LB,5.1,3.2,0,0.2,0.2,0,0,0,7.2
540,"Calhoun, Shilique",OAK,LB,6,0.5,0,0.9,0,0,0,0,7.1
541,"Morgan, Mike",SEA,LB,4.7,1.8,0,0.2,0.2,0,0,0,6.2
542,"Gotsis, Adam",DEN,DL,2,7.8,0,0.2,0,0,0,0,6
543,"Armbrister, Thurston",DET,LB,5.6,0,0,0,0,0,0,0,5.6
544,"Wilber, Kyle",DAL,LB,3.5,3.2,0,0,0,0.2,0.2,0,5.5
545,"Freeny, Jonathan",NEP,LB,2.4,3.8,0,0,0,0.8,0,0,5.1
546,"McNary, Josh",JAC,LB,3.8,2.2,0,0,0,0,0,0,4.9
547,"Dawson, Paul",CIN,LB,3,3.1,0,0.1,0,0,0,0,4.7
548,"Cole, Audie",JAC,LB,3.4,2.5,0,0,0,0,0,0,4.7
549,"Heath, Joel",HOU,DL,3,2.8,0.3,0,0,0,0,0,4.6
550,"Ishmael, Kemal",ATL,LB,2.9,3,0,0.2,0,0,0,0,4.6
551,"Lynch, Cameron",TBB,LB,2.7,2,0.5,0,0,0,0,0,4.3
552,"Golston, Kedric",FA,DL,0.6,6,0,0,0,0,0,0,3.6
553,"Littleton, Cory",LAR,LB,3.1,0.8,0,0,0,0,0,0,3.5
554,"Orchard, Nate",CLE,DL,1.8,3.3,0,0,0,0,0,0,3.5
555,"Davis, Carl",BAL,DL,0.6,4.8,0,0,0,0,0,0,2.9
556,"Lanier, Anthony",WAS,DL,0.8,3.8,0,0,0,0,0,0,2.7
557,"Alexander, D.J.",SEA,LB,1.4,0.2,0,0,0,0.6,0,0,2.1
558,"Kaufusi, Bronson",BAL,DL,0.1,3,0,0,0,0,0,0,1.6
559,"Glanton, Adarius",TBB,LB,1.5,0,0,0,0,0,0,0,1.5
560,"Hager, Bryce",LAR,LB,0.7,0,0,0.8,0,0,0,0,1.5
561,"Fairley, Nick",NOR,DL,1,0.5,0.2,0,0,0,0,0,1.4
562,"Still, Devon",NYJ,DL,0.4,1.6,0,0,0,0,0,0,1.2
563,"Brothers, Kentrell",MIN,LB,0.6,0,0,0.2,0,0,0,0,0.8
564,"Crichton, Scott",FA,DL,0.2,0.4,0,0,0,0,0,0,0.4
565,"Bond, Devante",TBB,LB,0,0,0,0,0,0,0,0,0
