Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,low,0,0,0,54,774,5.3,0.9,112.8
Julian Edelman,NE ,6.1,39.1,0.1,81,906,5,2.6,120.1
,high,8.5,54.2,0.3,95.9,"1,011.90",6,2.6,215.1
,low,4.8,29,0,73,818,4.3,2.6,111
Randall Cobb,GB ,5.3,36.1,0.1,73.9,816.4,5.7,0.3,119.6
,high,7.4,47.5,0.2,85,884,6,0.3,188.5
,low,4,22,0,67,764,4.7,0.3,114.6
Pierre Garcon,SF ,0,0,0,74,909.6,4.6,0.4,117.6
,high,0,0,0,86,"1,080.00",6,0.4,202.7
,low,0,0,0,62.8,796,3.4,0.4,100
Kenny Britt,CLE ,2.8,16.6,0.1,63,863.7,5,1.3,115.6
,high,7.5,46.9,0.2,71,922,6,1.3,188.5
,low,0,0,0,57,815,4,1.3,105.8
Brandon Marshall,NYG ,0,0,0,63.1,810.2,5.8,0.8,114.1
,high,0,0,0,67,873.7,7,0.8,193.4
,low,0,0,0,59,755,4.2,0.8,102.1
DeSean Jackson,TB ,0.7,4.3,0,54.4,860.9,4.6,0.4,113.6
,high,2,13,0,58,969,5,0.4,180.4
,low,0,0,0,50.8,729,4,0.4,96.9
Devante Parker,MIA ,0,0,0,61.4,845.3,4.9,0.3,113.5
,high,0,0,0,65.4,883,6.1,0.3,188.1
,low,0,0,0,54,787,2.9,0.3,96.1
Mike Wallace,BAL ,2.5,16.8,0,66.4,840.2,4.5,0.2,112.6
,high,3.8,24.6,0.1,82,898,5,0.2,175.1
,low,0.8,8.8,0,58,783,4.1,0.2,108.5
Donte Moncrief,IND ,1.4,6.7,0,62.1,742.9,6.3,0.3,112.3
,high,1.9,11.7,0.1,68.6,879.4,7.3,0.3,192.2
,low,1,3,0,56,597,4,0.3,102.3
Eric Decker,TEN ,0,0,0,58.7,777.3,5.9,0.7,111.7
,high,0,0,0,69.9,921.6,6.5,0.7,168.6
,low,0,0,0,53,714,5,0.7,101.4
Jeremy Maclin,BAL ,1,6.1,0,71.4,851.8,4.3,0.3,111
,high,2.3,14.4,0,83,911.7,5,0.3,190.1
,low,0,0,0,61,775,3.5,0.3,105.8
Tyrell Williams,LAC ,0,0,0,53.2,792.9,5.1,0.5,108.9
,high,0,0,0,63,920,6,0.5,167.7
,low,0,0,0,34.8,591.1,3.5,0.5,79.4
Jordan Matthews,BUF ,0.3,2.3,0,64.3,782.5,5.1,0.3,108.2
,high,1,7,0,68.9,838.4,6,0.3,176.4
,low,0,0,0,54,715,4.2,0.3,98.5
Adam Thielen,MIN ,2.4,12.7,0,64.4,811.6,4.4,1.2,106.7
,high,3.7,23.5,0.1,68,891,6,1.2,179.4
,low,0.4,0.7,0,58.2,720.3,3.4,1.2,93.1
Rishard Matthews,TEN ,0.1,0.9,0,54.6,776.9,5.3,1.5,106.4
,high,0.4,2.6,0,61,836,6,1.5,158.7
,low,0,0,0,52.7,727,5,1.5,104.5
Marvin Jones,DET ,0.6,1.1,0,55,765.6,4.8,0.2,105
,high,1,3,0,64,824.4,5.7,0.2,172.3
,low,0,0,0,49,720,3.8,0.2,99.5
Cameron Meredith,CHI ,1.2,9.9,0.1,64.6,820.5,4.5,3,104.6
,high,2.4,15.1,0.1,71.2,946,6,3,184
,low,0,0,0,53,697,3,3,87.7
John Brown,ARI ,1.6,9.7,0,55.3,767.9,4.2,0.4,102.4
,high,3.6,22.7,0.1,60,844,5,0.4,171.5
,low,0.3,0.4,0,50,682,3.7,0.4,98.2
Corey Coleman,CLE ,1.4,7.7,0,60.3,755.6,4,0.3,100
,high,3,18,0,68,815,5,0.3,154.1
,low,0,0,0,53,675,3.1,0.3,91.5
