Player,Team,REC,YDS,TDS,FL,FPTS
George Kittle,SF ,21.3,226.9,1.6,0.6,31.1
,high,25,283,2,0.6,53.1
,low,17,156,1.1,0.6,22.2
Josh Hill,NO ,21.9,216.3,1.4,0.3,29.5
,high,32,313,2.2,0.3,48.2
,low,17,163,0.8,0.3,22.3
Adam Shaheen,CHI ,19.5,202.2,1.6,0.6,28.8
,high,29,299,2,0.6,48.8
,low,12,134,1,0.6,19.4
Dion Sims,CHI ,20.1,194.4,1.7,0.5,28.7
,high,26,249,2.3,0.5,38.7
,low,13.7,130.4,1,0.5,23.5
Maxx Williams,BAL ,22.2,212.3,1.3,0.2,28.3
,high,26,255.1,2.2,0.2,38.7
,low,17,157.5,1,0.2,27.7
Marcedes Lewis,JAC ,22.7,221.7,1.1,0.4,27.8
,high,29,262.2,1.9,0.4,50.3
,low,13,127,0,0.4,12.7
A.J. Derby,DEN ,22.3,216.5,1.5,2.5,25.4
,high,29,294,2,2.5,63.3
,low,14,155,0,2.5,15.5
Nick Boyle,BAL ,22.6,191.2,1,0.2,24.7
,high,32.6,289.8,1.5,0.2,70.3
,low,5.3,38.7,0.2,0.2,4.7
Will Tye,NYG ,22.1,200.8,0.9,0.4,24.7
,high,33.3,292.3,1.7,0.4,39.2
,low,12,121,0,0.4,14.6
Jonnu Smith,TEN ,16.2,170.4,1.3,0.4,24
,high,28,273,2.2,0.4,40.5
,low,7,77,0,0.4,7.7
Rico Gathers,DAL ,15,165,1,0,22.5
,high,15,165,1,0,22.5
,low,15,165,1,0,22.5
Levine Toilolo,ATL ,14.3,161.8,1.1,0.2,22.1
,high,19.2,223.8,1.4,0.2,30.8
,low,7.3,74,0.9,0.2,19.7
Demetrius Harris,KC ,17.9,167.2,1,0.4,21.8
,high,28,268,1.6,0.4,36.4
,low,13,123.8,0.3,0.4,14.6
Ed Dickson,CAR ,13.1,151.3,1.1,0.3,20.9
,high,26,302,1.9,0.3,41.6
,low,6.4,72.7,0.6,0.3,17
Luke Willson,SEA ,14,151.4,1,0.2,20.6
,high,17,191.6,1.6,0.2,28.5
,low,9.8,114,0,0.2,11.4
Richard Rodgers,GB ,16.3,157.4,0.8,0.1,20.6
,high,19.1,192.5,1.4,0.1,27.2
,low,12,102,0,0.1,14.3
MarQueis Gray,MIA ,14.4,150.1,1,0.3,20.1
,high,25,266,1.5,0.3,35.6
,low,5.1,48.2,0.4,0.3,7.1
Daniel Brown,CHI ,19,156,0.8,0.4,19.6
,high,33,259,1.6,0.4,35.5
,low,5,53,0,0.4,5.3
Anthony Fasano,MIA ,12.6,141.8,0.8,0.3,18.1
,high,18,199,1.2,0.3,27.1
,low,6.2,64.4,0,0.3,12.7
Lance Kendricks,GB ,12.1,119.9,1.1,0.3,17.7
,high,18,184,1.6,0.3,28
,low,5.6,57.3,0.7,0.3,13.7
