Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,high,209.7,866,7,21,164,0.9,1.5,154.1
,low,163.5,671.5,5,10,72,0,1.5,115.1
Danny Woodhead,BAL ,89.7,379,2.6,61,491.8,2.9,1,118.1
,high,116,501,3,70,535.9,3.9,1,180.8
,low,77,316,2,52,385,2,1,94.1
Matt Forte,NYJ ,149.6,611,3.7,31.6,258,1.4,1.7,113.8
,high,165,700.3,4,42.1,350.6,2,1.7,165.6
,low,117,461,2.7,26.9,213.6,1,1.7,96.8
Theo Riddick,DET ,83.9,325.9,2,62.5,496.7,3.4,0.9,112.7
,high,98,406.2,2.9,75,582,3.7,0.9,184.4
,low,68.8,250,1,52,431,3,0.9,103.4
Doug Martin,TB ,176.4,697.3,4.6,20.3,161.4,0.8,3.4,111.3
,high,190,741,5,23,187,1,3.4,134
,low,163.8,621.6,4,17.1,132.5,0.5,3.4,105.1
Jonathan Stewart,CAR ,176.3,720.8,5.4,11.8,90,0.5,3.5,109.6
,high,194,775,6.3,13,108,1,3.5,135.9
,low,163.6,664.3,4.5,10,72,0,3.5,101.3
LeGarrette Blount,PHI ,175.5,707.9,5.9,9.5,60.7,0.2,1.9,109.5
,high,194.2,799.8,7.3,17,100,0.6,1.9,139.8
,low,163,680.7,4.8,4,34,0,1.9,103.8
Duke Johnson,CLE ,84.5,355.9,1.9,57.4,496.8,1.7,1.4,104.2
,high,108.7,447.3,2.8,62,551,3,1.4,176.1
,low,67,283,1,47.7,414.9,0.6,1.4,94.2
Adrian Peterson,NO ,147.6,617.6,5.6,22.2,147.8,0.5,4.9,103.5
,high,156.9,699.6,6.6,31.6,240.9,1.5,4.9,166.5
,low,139,555.3,4.5,17.5,97.9,0,4.9,99.8
Derrick Henry,TEN ,138.8,598.5,4.3,16.1,146.5,0.8,1.2,102.4
,high,153,675,5,19,195,1,1.2,118
,low,115.4,510.8,3.2,10.8,88.7,0.3,1.2,87
Kareem Hunt,KC ,118,493.6,3.8,29.1,227.9,0.9,1.8,97
,high,169,722,6,35,270.2,1,1.8,135.1
,low,90.3,342.8,2.9,24,187,0.7,1.8,84.4
Darren Sproles,PHI ,83.9,372.2,2.2,48.8,378.3,1.8,1.2,96.6
,high,89,392,2.8,54,408,2.1,1.2,155.2
,low,77.7,345,1.9,44,352,1.1,1.2,93.4
Darren McFadden,DAL ,125.4,529.7,4.2,20.9,163.5,0.3,2.8,90.9
,high,153.6,651.5,5.8,26,213,0.7,2.8,137.8
,low,97,439.1,1.8,16,136,0,2.8,83.9
Giovani Bernard,CIN ,102.9,420.9,2.3,35.2,300.5,1.4,1.9,90.4
,high,125,517,3.6,43.9,362.4,2,1.9,159.8
,low,84,325,1,28.2,244,0.5,1.9,71.3
James White,NE ,51.1,212,1.5,49,418.4,3.4,1.4,89.2
,high,67,252,2.1,62,462.4,4.4,1.4,138.9
,low,34.1,134.7,1,37,355,3,1.4,81.2
Thomas Rawls,SEA ,118.3,495.3,4.2,13.9,107,0.3,0.9,85.3
,high,166,740,7,21,149,0.9,0.9,136.3
,low,77.5,345.1,2.2,5.5,46.2,0,0.9,58.7
