Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,high,6,36,0.1,4,30,0.1,0.2,7.8
,low,5,20,0,3,22,0,0.2,4.2
Knile Davis,PIT ,9.4,31,0,3.5,22.9,0,0.1,5.4
,high,15,61,0.1,7.4,49.6,0,0.1,7
,low,5.1,13.9,0,1,8,0,0.1,3.5
T.J. Logan,ARI ,8,29.5,0.2,1.5,11.5,0.1,0.1,5.1
,high,10,34,0.3,2,16,0.1,0.1,7.4
,low,6,25,0,1,7,0,0.1,3.2
Raheem Mostert,SF ,6.4,26.8,0.2,2.1,14,0,0.2,4.9
,high,7,29,0.2,3.2,21,0,0.2,6.2
,low,5.8,24.7,0.2,1,7,0,0.2,4.8
Juwan Thompson,DEN ,8.6,31.9,0.1,2.1,14.3,0,0.3,4.8
,high,12,47,0.2,3,23,0,0.3,7
,low,5,17,0,1,6,0,0.3,3.5
Daniel Lasco,NO ,5.5,19.7,0.1,2.3,16,0.1,0.1,4.3
,high,7,25,0.2,2.5,20.7,0.1,0.1,7.5
,low,4,15.8,0,2,10,0,0.1,3.9
Brandon Bolden,NE ,3.9,13.9,0,2.5,20.1,0.2,0.2,4.3
,high,5,19,0.1,3,21.1,0.2,0.2,5
,low,2.8,8.9,0,2,19,0.2,0.2,4.1
Rod Smith,DAL ,3.4,12,0.1,2.4,16.5,0.1,0,4.1
,high,4.1,13.4,0.3,2.7,19.8,0.2,0,8.4
,low,3,10.7,0,2,13,0,0,2.5
Troymaine Pope,IND ,8,27,0.1,1,9,0,0.1,4
,high,8,27,0.1,1,9,0,0.1,4.2
,low,8,27,0.1,1,9,0,0.1,4.2
Keith Smith,DAL ,4.2,16.1,0.2,2.2,14.2,0,0,3.9
,high,6.4,27.1,0.3,2.4,16.3,0,0,6.2
,low,2,5,0,2,12,0,0,1.7
James Develin,NE ,3.2,10.2,0.1,2.9,22.5,0,0,3.8
,high,5.4,16.5,0.2,3.8,24.9,0,0,6
,low,1,4,0,2,20,0,0,2.4
Jay Prosch,HOU ,2.8,9.9,0.1,2.5,21.7,0,0,3.5
,high,3,11.9,0.1,5,41.4,0,0,7
,low,2.6,8,0,0,2,0,0,1
Dan Vitale,CLE ,3.1,11.1,0.1,2.5,16.2,0,0,3.1
,high,5.2,19.3,0.1,2.9,16.4,0,0,4.6
,low,1,3,0,2,16,0,0,1.9
Anthony Sherman,KC ,3.1,12.8,0.1,1.8,10.5,0,0,2.6
,high,6.3,26.4,0.2,2,15,0,0,4.7
,low,0,0,0,1.4,7.4,0,0,0.9
Roosevelt Nix,PIT ,1.6,5.3,0,1.7,9.8,0,0,1.7
,high,3.1,10.5,0.1,2.4,14.6,0,0,2.8
,low,0,0,0,1,5,0,0,0.5
Marquez Williams,JAC ,2,7,0,1,7,0,0,1.4
,high,2,7,0,1,7,0,0,1.4
,low,2,7,0,1,7,0,0,1.4
Jordan Todman,NYJ ,3,17,0,0,0,0,0.2,1.3
,high,3,17,0,0,0,0,0.2,1.7
,low,3,17,0,0,0,0,0.2,1.7
Marcus Murphy,NYJ ,2.5,9,0.1,0.5,4,0,0.2,1.2
,high,5,18,0.1,1,8,0,0.2,3.2
,low,0,0,0,0,0,0,0.2,0
Taiwan Jones,BUF ,1,2.5,0,0.5,7,0.1,0.2,1.2
,high,2,5,0,1,14,0.1,0.2,2.5
,low,0,0,0,0,0,0.1,0.2,0
Sam Rogers,LAR ,2,5,0,1,6,0,0,1.1
,high,2,5,0,1,6,0,0,1.1
,low,2,5,0,1,6,0,0,1.1
Michael Burton,CHI ,1,1,0,1,8,0.1,0.2,1.1
,high,1,1,0,1,8,0.1,0.2,1.5
,low,1,1,0,1,8,0.1,0.2,1.5
Joe Banyard,BUF ,13.6,44.3,0.2,6.3,39.7,0,0,0
,high,13.6,44.3,0.2,6.3,39.7,0,0,9.7
,low,13.6,44.3,0.2,6.3,39.7,0,0,9.7
Senorise Perry,MIA ,8.4,35.7,0.3,5.5,42.1,0,0,0
,high,8.4,35.7,0.3,5.5,42.1,0,0,9.3
,low,8.4,35.7,0.3,5.5,42.1,0,0,9.3
Mike Davis,SEA ,1.6,4.7,0,9.1,66.6,0,0,0
,high,1.6,4.7,0,9.1,66.6,0,0,9.4
,low,1.6,4.7,0,9.1,66.6,0,0,9.4
Storm Johnson,MIA ,8.4,35.7,0.3,5.5,42.1,0,0,0
,high,8.4,35.7,0.3,5.5,42.1,0,0,9.3
,low,8.4,35.7,0.3,5.5,42.1,0,0,9.3
D.J. Foster,NE ,12,45.9,0.2,2.7,18.6,0,0,0
,high,12,45.9,0.2,2.7,18.6,0,0,8.3
,low,12,45.9,0.2,2.7,18.6,0,0,8.3
Austin Johnson,TB ,8.3,33.8,0.1,3.8,30.4,0,0,0
,high,8.3,33.8,0.1,3.8,30.4,0,0,7.4
,low,8.3,33.8,0.1,3.8,30.4,0,0,7.4
Terrell Watson,PIT ,8,33.9,0.2,3.2,21.3,0,0,0
,high,8,33.9,0.2,3.2,21.3,0,0,7.4
,low,8,33.9,0.2,3.2,21.3,0,0,7.4
Bernard Pierce,DEN ,7.8,30.9,0.1,4,30.6,0,0,0
,high,7.8,30.9,0.1,4,30.6,0,0,7.1
,low,7.8,30.9,0.1,4,30.6,0,0,7.1
Matt Jones,WAS ,6.7,27.9,0,2,22.8,0,0,0
,high,6.7,27.9,0,2,22.8,0,0,6.1
,low,6.7,27.9,0,2,22.8,0,0,6.1
Byron Marshall,PHI ,8.3,32.8,0.2,3.3,19.4,0,0,0
,high,8.3,32.8,0.2,3.3,19.4,0,0,6.2
,low,8.3,32.8,0.2,3.3,19.4,0,0,6.2
Ryan Hewitt,CIN ,3.9,10.8,0.1,1.7,12.8,0,0,0
,high,3.9,10.8,0.1,1.7,12.8,0,0,3.8
,low,3.9,10.8,0.1,1.7,12.8,0,0,3.8
Joe Kerridge,GB ,4.4,14.7,0.1,2.8,16.6,0,0,0
,high,4.4,14.7,0.1,2.8,16.6,0,0,3.9
,low,4.4,14.7,0.1,2.8,16.6,0,0,3.9
Ronnie Hillman,DAL ,17.2,63.3,0.4,5.3,38.9,0,0,0
,high,17.2,63.3,0.4,5.3,38.9,0,0,12.5
,low,17.2,63.3,0.4,5.3,38.9,0,0,12.5
Cedric Peerman,CIN ,15.8,55.9,0.3,7,43.5,0,0,0
,high,15.8,55.9,0.3,7,43.5,0,0,11.8
,low,15.8,55.9,0.3,7,43.5,0,0,11.8
George Atkinson,OAK ,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0
,low,0,0,0,0,0,0,0,0
